Emirates Stadium," 75 Drayton Park, London,  N5 1BU",2006,60161,60260,105,68
Villa Park," Trinity Road, Birmingham,  B6 6HE",1897,42045,42682,105,68
Brentford Community Stadium," Lionel Road South, Brentford,  TW8 0RU",2020,17094,17250,105,68
Amex Stadium," Village Way, Brighton,  BN1 9BL",2011,30565,30666,105,68
Turf Moor,"52-56 Harry Potts Way,  Burnley,  BB10 4BX",1883,21870,21944,105,68
Stamford Bridge," Fulham Road, London,  SW6 1HS",1877,42332,40853,103,67
Selhurst Park," Holmesdale Road, London,  SE25 6PU",1924,30115,25486,101,68
Goodison Park," Goodison Road, Liverpool,  L4 4EL",1892,40552,39221,100,68
Elland Road," Elland Road, Leeds,  LS11 0ES",1897,57892,37890,106,69
King Power Stadium," Filbert Way, Leicester,  LE2 7FL",2002,32242,32273,105,68
Anfield," Anfield Road, Liverpool,  L4 0TH",1884,53292,53394,101,68
Etihad Stadium," Etihad Campus, Manchester,  M11 3FF",2002,54693,55017,105,68
Old Trafford," Old Trafford, Manchester,  M16 0RA",1909,76098,74879,105,68
St. James' Park,"St. James' Park, NewcastleUponTyne,  NE1 4ST",1892,52490,52305,105,68
Carrow Road," Carrow Road, Norwich,  NR1 1JE",1935,27244,27359,104,68
St. Mary's Stadium," Britannia Road, Southampton,  SO14 5FP",2001,32151,32384,105,68
Tottenham Hotspur Stadium,"782 High Rd, London,  N17 0BX",2019,61104,62062,100,67
Vicarage Road," Watford, Hertfordshire,  WD18 0ER",1922,21590,21000,105,68
London Stadium," Queen Elizabeth Olympic Park, London,  E20 2ST",2011,59946,60000,105,68
Molineux Stadium," Waterloo Rd, Wolverhampton,  WV1 4QR",1889,31322,32050,105,68
Craven Cottage," Stevenage Road, London,  SW6 6HH",1896,19359,19000,100,65
Bramall Lane,"Bramall Lane,  Sheffield,  S2 4SU",1855,68287,32050,102,66
The Hawthorns,"Halfords Ln,  West Bromwich,  B71 4LF",1900,27751,26688,105,68
Vitality Stadium," Dean Court Rd, Bournemouth,  BH7 7AF",1910,11459,11329,105,68
Cardiff City Stadium," Leckwith Road, Cardiff,  CF11 8AZ",2009,32321,33316,105,68
John Smith's Stadium," Stadium Way, Huddersfield,  HD1 6PX",1994,24426,24169,106,68
Wembley Stadium,"Rutherford Way, London,  HA9 0WS",2007,85512,90000,105,68
